[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:25364 NAME:cef_server.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:17176 NAME:lghub_agent.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5916 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:31520 NAME:msedge.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:3884 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:16172 NAME:Discord.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:2864 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:12080 NAME:SearchApp.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1844 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:2872 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1848 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:21308 NAME:WsToastNotification.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:25408 NAME:wslhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:12096 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:20288 NAME:wsl.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:29508 NAME:GameBarPresenceWriter.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5956 NAME:RzWDLDeviceManager
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:15176 NAME:chrome.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:21328 NAME:ApplicationFrameHost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:12116 NAME:Telegram.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5976 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:18268 NAME:v2RayTun.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:10084 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:10092 NAME:WindowsPackageManagerServer.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:880 NAME:wininit.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:21360 NAME:pycharm64.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1904 NAME:NVDisplay.Container.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:20336 NAME:chrome.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:29556 NAME:unsecapp.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:35700 NAME:taskhostw.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:888 NAME:csrss.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1912 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:30588 NAME:Launcher.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:10112 NAME:explorer.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:18308 NAME:jusched.exe
